measure,year,month,sector,size,district,elevation,floors,built,tmp_min,tmp_mean,tmp_max,cost,source
0,2014.0,5.0,residential,460.0,7,55.0,21.0,1967.0,21.9,28.7,34.6,6198.82,gas
1,2012.0,6.0,office,489.0,2,19.0,18.0,2005.0,26.5,30.7,39.7,6603.26,gas
2,2011.0,8.0,commercial,215.0,4,37.0,6.0,1981.0,22.3,28.9,34.2,1343.66,gas
3,2007.0,10.0,factory,218.0,4,37.0,6.0,1990.0,18.2,24.7,32.2,608.22,gas
4,2012.0,10.0,residential,,3,-7.0,7.0,,17.9,23.0,29.0,1888.29,elec
5,2006.0,12.0,residential,689.0,5,51.0,22.0,1931.0,10.1,16.2,,11811.83,gas
6,2008.0,10.0,commercial,489.0,6,37.0,,1934.0,15.7,23.8,30.9,1456.83,elec
7,2009.0,2.0,commercial,1554.0,4,37.0,1.0,1995.0,14.7,20.3,27.6,3070.21,elec
8,2008.0,9.0,commercial,599.0,8,337.0,1.0,1948.0,19.6,26.9,34.1,1043.49,elec
9,2012.0,10.0,office,,4,117.0,11.0,1950.0,19.2,23.9,29.6,2091.89,oil
10,2013.0,1.0,residential,,3,12.0,3.0,2001.0,9.0,14.8,23.5,1262.82,elec
11,2007.0,1.0,factory,937.0,3,37.0,4.0,1969.0,7.5,15.0,,3400.19,elec
12,2008.0,2.0,commercial,622.0,3,51.0,1.0,1966.0,11.1,19.2,27.0,877.77,elec
13,2014.0,2.0,residential,,8,55.0,28.0,1959.0,9.5,19.0,,13256.15,gas
14,2005.0,5.0,commercial,476.0,7,37.0,4.0,2003.0,25.1,28.9,37.0,2469.01,oil
15,2010.0,9.0,commercial,1554.0,4,37.0,1.0,1995.0,20.7,26.9,,1514.54,oil
16,2009.0,10.0,commercial,,3,12.0,3.0,1948.0,16.0,23.0,28.5,1905.12,elec
17,2005.0,,office,1260.0,6,55.0,4.0,1937.0,21.0,27.1,32.2,4717.44,oil
18,2014.0,8.0,commercial,351.0,3,203.0,,1946.0,22.1,29.1,33.4,2848.15,elec
19,2010.0,10.0,commercial,657.0,2,19.0,5.0,1972.0,16.3,24.0,32.3,4851.34,oil
