id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
7129300520,20141013T000000,1,3.0,1.0,1180.0,5650.0,1.0,0.0,0.0,3.0,7.0,1180.0,0,1955,0.0,98178,47.66441860785218,-116.92843415768789,1340.0,5650
6414100192,20141209T000000,3,3.0,2.25,2570.0,7242.0,2.0,0.0,0.0,3.0,7.0,2170.0,400,1951,1991.0,98125,47.730730120505186,-118.463586592722,1690.0,7639
5631500400,20150225T000000,1,2.0,1.0,770.0,10000.0,1.0,0.0,0.0,3.0,6.0,770.0,0,1933,0.0,98028,47.9735541081343,-118.70645065277972,2720.0,8062
2487200875,20141209T000000,4,4.0,3.0,1960.0,5000.0,1.0,0.0,0.0,5.0,7.0,1050.0,910,1965,0.0,98136,47.28293670300338,-118.35652409926283,1360.0,5000
1954400510,20150218T000000,3,3.0,2.0,1680.0,8080.0,,0.0,0.0,3.0,8.0,1680.0,0,1987,0.0,98074,47.92541495176854,-118.98521739549987,1800.0,7503
7237550310,20140512T000000,5,4.0,4.5,5420.0,101930.0,1.0,0.0,0.0,3.0,,3890.0,1530,2001,0.0,98053,47.927588253746556,-117.65106473160616,4760.0,101930
1321400060,20140627T000000,2,3.0,2.25,1715.0,6819.0,2.0,0.0,0.0,3.0,,1715.0,0,1995,0.0,98003,47.55490314402593,-119.9134861448367,2238.0,6819
2008000270,20150115T000000,2,3.0,1.5,1060.0,9711.0,1.0,0.0,0.0,3.0,7.0,1060.0,0,1963,0.0,98198,46.98160790141923,-120.08399218570514,1650.0,9711
2414600126,20150415T000000,1,3.0,1.0,1780.0,7470.0,,0.0,0.0,3.0,7.0,1050.0,730,1960,0.0,98146,47.64532602568583,-118.81635777960778,1780.0,8113
3793500160,20150312T000000,2,3.0,2.5,1890.0,6560.0,2.0,0.0,0.0,3.0,7.0,1890.0,0,2003,0.0,98038,47.58007589993653,-117.99213822816701,2390.0,7570
1736800520,20150403T000000,4,3.0,2.5,3560.0,9796.0,1.0,0.0,0.0,3.0,8.0,1860.0,1700,1965,0.0,98007,47.933622938180676,-118.21597364235673,2210.0,8925
9212900260,20140527T000000,3,2.0,1.0,1160.0,6000.0,1.0,0.0,0.0,4.0,7.0,860.0,300,1942,0.0,98115,47.86989832082767,-119.36079287255188,1330.0,6000
114101516,20140528T000000,2,3.0,1.0,1430.0,19901.0,1.5,0.0,0.0,4.0,7.0,1430.0,0,1927,0.0,98028,47.65802127872992,-118.13266423320765,1780.0,12697
6054650070,20141007T000000,3,3.0,1.75,1370.0,9680.0,1.0,0.0,0.0,4.0,7.0,1370.0,0,1977,,98074,47.225465465269345,-117.2262477500879,1370.0,10208
1175000570,20150312T000000,3,5.0,2.0,1810.0,4850.0,1.5,0.0,0.0,3.0,7.0,1810.0,0,1900,0.0,98107,47.62026085317509,-117.83781615104877,1360.0,4850
9297300055,20150124T000000,4,4.0,3.0,2950.0,5000.0,2.0,0.0,3.0,3.0,9.0,1980.0,970,1979,0.0,98126,47.679533538794566,-119.32528338003137,2140.0,4000
1875500060,20140731T000000,3,3.0,2.0,1890.0,14040.0,2.0,0.0,0.0,3.0,7.0,1890.0,0,1994,0.0,98019,48.07817582188888,-117.92249494953066,1890.0,14018
6865200140,20140529T000000,3,4.0,1.0,1600.0,4300.0,,0.0,0.0,4.0,7.0,1600.0,0,1916,0.0,98103,47.66528637660741,-118.92148549555897,1610.0,4300
16000397,20141205T000000,1,2.0,1.0,1200.0,9850.0,1.0,0.0,0.0,4.0,7.0,1200.0,0,1921,0.0,98002,47.21126702658416,-118.35392816608187,1060.0,5095
7983200060,20150424T000000,1,3.0,1.0,1250.0,9774.0,1.0,0.0,0.0,4.0,7.0,1250.0,0,1969,0.0,98003,47.2330668579967,-118.33585287432624,1280.0,8850
6300500875,20140514T000000,3,4.0,1.75,,4980.0,1.0,0.0,0.0,4.0,7.0,860.0,760,1947,0.0,98133,47.855203453155305,-119.46987194010067,1400.0,4980
2524049179,20140826T000000,5,3.0,2.75,3050.0,44867.0,1.0,0.0,4.0,3.0,9.0,2330.0,720,1968,0.0,98040,47.58715841395084,-118.82524105389741,,20336
7137970340,20140703T000000,2,5.0,2.5,2270.0,6300.0,2.0,0.0,0.0,3.0,8.0,,0,1995,0.0,98092,47.299442293993145,-117.901511754299,2240.0,7005
8091400200,20140516T000000,2,2.0,1.5,1070.0,9643.0,1.0,,0.0,3.0,7.0,1070.0,0,1985,0.0,98030,47.52636305084745,-117.1693660202102,1220.0,8386
3814700200,20141120T000000,2,3.0,2.25,2450.0,6500.0,,0.0,0.0,4.0,8.0,2450.0,0,1985,0.0,98030,47.208729915502815,-118.65676826209844,2200.0,6865
1202000200,20141103T000000,1,3.0,2.0,1710.0,4697.0,1.5,0.0,0.0,5.0,6.0,1710.0,0,1941,0.0,98002,47.244535320778944,-117.19823403748553,1030.0,4705
1794500383,20140626T000000,5,3.0,1.75,2450.0,2691.0,,0.0,0.0,3.0,8.0,1750.0,700,1915,,98119,47.98926826970132,-118.49837379677291,1760.0,3573
3303700376,20141201T000000,4,3.0,1.0,1400.0,1581.0,1.5,0.0,0.0,5.0,8.0,1400.0,0,1909,0.0,98112,47.654292405333976,-119.55272767384315,1860.0,3861
5101402488,20140624T000000,3,3.0,1.75,1520.0,6380.0,1.0,,0.0,3.0,7.0,,730,1948,0.0,98115,47.494986573480666,-117.59966622214375,1520.0,6235
1873100390,20150302T000000,4,4.0,2.5,2570.0,7173.0,2.0,0.0,0.0,3.0,8.0,2570.0,0,2005,0.0,98052,47.63147598926436,-117.26776605127009,2630.0,6026
8562750320,20141110T000000,3,3.0,2.5,,3980.0,2.0,0.0,0.0,3.0,8.0,2320.0,0,2003,0.0,98027,47.6743192153476,-118.2814908471095,2580.0,3980
2426039314,20141201T000000,2,,1.5,1190.0,1265.0,3.0,0.0,0.0,3.0,7.0,1190.0,0,2005,0.0,98133,47.485020309916834,-117.08290100429662,1390.0,1756
461000390,20140624T000000,4,4.0,1.75,2330.0,5000.0,1.5,0.0,0.0,4.0,7.0,1510.0,820,1929,0.0,98117,48.05959262561694,-117.51497058884515,1460.0,5000
7589200193,20141110T000000,3,3.0,1.0,1090.0,3000.0,1.5,0.0,0.0,4.0,8.0,1090.0,0,1929,0.0,98117,47.81257225493602,-117.71037537632064,1570.0,5080
7955080270,20141203T000000,2,4.0,2.75,2060.0,6659.0,1.0,0.0,0.0,3.0,7.0,1280.0,780,1981,,98058,47.447056037197186,-119.26744234670097,2020.0,8720
9547205180,20140613T000000,4,3.0,2.5,2300.0,3060.0,1.5,0.0,0.0,3.0,8.0,1510.0,790,1930,2002.0,98115,47.486739122282124,-118.64360710839223,1590.0,3264
9435300030,20140528T000000,3,4.0,1.0,1660.0,34848.0,1.0,0.0,0.0,1.0,5.0,930.0,730,1933,0.0,98052,47.64877236646381,-119.30699068963021,2160.0,11467
2768000400,20141230T000000,4,4.0,2.0,2360.0,6000.0,2.0,0.0,0.0,4.0,8.0,2360.0,0,1904,0.0,98107,47.46036643677328,-118.52094160638937,1730.0,4700
7895500070,20150213T000000,1,4.0,1.0,1220.0,8075.0,1.0,0.0,0.0,2.0,,890.0,330,1969,0.0,98001,47.580080478954436,-117.53354248058876,1290.0,7800
2078500320,20140620T000000,4,4.0,2.5,2620.0,7553.0,2.0,0.0,0.0,3.0,,2620.0,0,1996,0.0,98056,47.32744922321916,-117.32732685033339,2620.0,11884
5547700270,20140715T000000,4,4.0,2.5,2570.0,5520.0,2.0,,0.0,3.0,9.0,2570.0,0,2000,0.0,98074,47.35539817338896,-119.35454086763482,2470.0,5669
7766200013,20140811T000000,4,4.0,2.25,4220.0,24186.0,1.0,,0.0,3.0,8.0,2600.0,1620,1984,0.0,98166,47.3437029255126,-118.4537127364936,2410.0,30617
7203220400,20140707T000000,4,5.0,2.75,3595.0,5639.0,2.0,0.0,0.0,3.0,9.0,3595.0,0,2014,0.0,98053,47.827137528322034,-118.6915368299855,3625.0,5639
9270200160,20141028T000000,4,3.0,1.0,1570.0,2280.0,2.0,0.0,0.0,3.0,7.0,1570.0,0,1922,0.0,98119,47.461499849030524,-118.80403821510075,1580.0,2640
1432701230,20140729T000000,2,3.0,1.0,1280.0,9656.0,,0.0,0.0,4.0,6.0,920.0,360,1959,0.0,98058,47.55349064258338,-116.95605363337098,1340.0,8808
8035350320,20140718T000000,3,3.0,2.5,3160.0,13603.0,,0.0,0.0,3.0,8.0,3160.0,0,2003,0.0,98019,48.025744637838024,-116.03046645545072,,9232
8945200830,20150325T000000,1,3.0,1.0,990.0,8528.0,1.0,0.0,0.0,3.0,,990.0,0,1966,0.0,98023,47.75619041718247,-118.08436022072004,1228.0,8840
4178300310,20140716T000000,4,4.0,2.5,2290.0,13416.0,2.0,0.0,0.0,4.0,9.0,2290.0,0,1981,0.0,98007,47.5270078491263,-119.23913316588626,2680.0,13685
9215400105,20150428T000000,3,3.0,1.75,1250.0,5963.0,1.0,0.0,0.0,4.0,7.0,1250.0,0,1953,0.0,98115,47.43192239800101,-120.13386367272972,970.0,5100
822039084,20150311T000000,5,3.0,2.5,2753.0,65005.0,1.0,1.0,2.0,5.0,9.0,2165.0,588,1953,0.0,98070,47.116423950834886,-117.67154921066738,2680.0,72513
5245600105,20140916T000000,1,3.0,1.0,1190.0,9199.0,1.0,0.0,,3.0,7.0,1190.0,0,1955,0.0,98148,47.32981892620209,-119.22630123322452,1190.0,9364
7231300125,20150217T000000,2,5.0,2.5,3150.0,9134.0,1.0,0.0,,4.0,8.0,1640.0,1510,1966,0.0,98056,47.32457575157666,-118.83003748018753,1990.0,9133
7518505990,20141231T000000,3,3.0,1.75,1410.0,4080.0,1.0,0.0,0.0,4.0,7.0,1000.0,410,1950,0.0,98117,47.73867853418697,-118.93003664013635,1410.0,4080
3626039271,20150205T000000,3,2.0,1.75,,8550.0,1.0,0.0,0.0,3.0,7.0,990.0,990,1981,0.0,98117,47.60335564302165,-118.16382314463299,1480.0,6738
4217401195,20150303T000000,5,5.0,2.25,2730.0,6000.0,1.5,0.0,0.0,3.0,,2130.0,600,1927,0.0,98105,47.62082847172605,-120.47323337691297,2730.0,6000
9822700295,20140512T000000,4,4.0,2.5,2830.0,5000.0,2.0,0.0,0.0,3.0,9.0,2830.0,0,1995,0.0,98105,47.718946111641586,-117.74139424018838,1950.0,5000
9478500640,20140819T000000,2,4.0,2.5,2250.0,4495.0,2.0,0.0,0.0,3.0,7.0,2250.0,0,2008,0.0,98042,46.936070188470744,-118.22314523149905,2250.0,4500
2799800710,20150407T000000,2,3.0,2.5,,4750.0,2.0,0.0,0.0,3.0,8.0,2420.0,0,2003,0.0,98042,47.30593178425242,-118.01514549796745,2690.0,4750
7922800400,20140827T000000,5,5.0,3.25,3250.0,14342.0,2.0,0.0,4.0,4.0,8.0,3250.0,0,1968,0.0,98008,47.91111701267661,-116.87871206585848,2960.0,11044
