sample,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,kind
0,7,0.27,2.16,20.7,0.045,165,170,very high,3,0.45,8.8,6,white
1,6.3,0.3,2.04,1.6,0.049,136,132,medium,3.3,0.49,9.5,6,white
2,8.1,0.28,2.4,6.9,0.05,152,97,high,3.26,0.44,10.1,6,white
3,7.2,0.23,1.92,8.5,0.058,167,,high,3.19,0.4,9.9,6,white
4,7.2,0.23,1.92,8.5,0.058,171,186,high,3.19,0.4,9.9,6,white
5,8.1,0.28,2.4,6.9,0.05,150,97,high,3.26,0.44,10.1,6,white
6,6.2,0.32,0.96,7,0.045,150,136,high,3.18,0.47,9.6,6,white
7,7,0.27,2.16,20.7,0.045,165,170,very high,3,0.45,8.8,6,white
8,6.3,0.3,2.04,1.6,0.049,130,132,medium,3.3,0.49,9.5,6,white
9,8.1,0.22,2.58,1.5,0.044,144,129,medium,3.22,0.45,11,6,
10,8.1,0.27,2.05,1.45,0.033,117,63,low,2.99,0.56,12,5,white
11,8.6,0.23,2,4.2,0.035,121,109,medium,3.14,0.53,9.7,5,white
12,7.9,0.18,1.85,1.2,0.04,114,75,low,3.18,0.63,10.8,5,white
13,6.6,0.16,2.8,1.5,0.044,184,143,low,3.54,0.52,12.4,7,white
14,8.3,0.42,3.1,19.25,0.04,145,172,very high,2.98,0.67,9.7,5,white
15,6.6,0.17,2.66,1.5,0.032,170,112,low,3.25,0.55,11.4,7,white
16,6.3,0.48,0.24,1.1,0.046,154,99,medium,3.24,0.36,9.6,6,white
17,6.2,0.66,3.84,1.2,0.029,187,75,low,3.33,0.39,12.8,8,white
18,7.4,0.34,2.52,1.1,0.033,135,171,low,3.12,0.53,11.3,6,white
19,6.5,0.31,0.7,7.5,0.044,134,133,high,3.22,0.5,9.5,5,white
20,6.2,0.66,3.84,1.2,0.029,193,75,low,3.33,0.39,12.8,8,white
21,6.4,0.31,2.66,2.9,0.038,157,102,low,3.17,0.35,11,7,white
22,6.8,0.26,3.36,1.7,0.049,197,122,medium,3.47,0.48,10.5,8,white
23,7.6,0.67,0.7,1.5,0.074,123,168,medium,3.05,0.51,9.3,5,white
24,6.6,0.27,2.46,1.3,0.052,138,142,high,3.42,0.47,10,6,white
25,7,0.25,1.92,9,0.046,174,,high,3.25,0.5,10.4,6,white
26,6.9,0.24,2.1,1,0.052,155,146,medium,3.45,0.44,10,6,white
27,7,0.28,2.34,8.7,0.051,154,141,high,3.38,0.53,10.5,6,white
28,7.4,0.27,2.88,1.1,0.047,141,132,low,3.19,0.49,11.6,6,white
29,7.2,0.32,2.52,2,0.033,177,114,low,3.1,0.71,12.3,7,white
30,8.5,0.24,2.34,10.4,0.044,136,142,very high,3.2,0.53,10,6,white
31,8.3,0.14,2.04,1.1,0.042,129,47,medium,3.47,0.4,10.2,6,white
32,7.4,0.25,2.16,2.05,0.05,153,100,low,3.19,0.44,10.8,6,white
33,6.2,0.12,2.04,1.5,0.045,163,117,medium,3.42,0.51,9,6,white
34,5.8,0.27,1,14.95,0.044,124,179,high,3.37,0.37,10.2,5,white
35,7.3,0.28,2.15,1.7,0.08,119,123,low,3.19,0.42,12.8,5,white
36,6.5,0.39,1.15,5.4,0.051,123,149,medium,3.24,0.35,10,5,white
37,7,0.33,1.92,1.2,0.053,158,138,low,3.13,0.28,11.2,6,white
38,7.3,0.24,1.95,17.95,0.057,145,149,very high,3.21,0.36,8.6,5,white
39,7.3,0.24,1.95,17.95,0.057,143,149,very high,3.21,0.36,8.6,5,white
40,6.7,0.23,2.34,2.5,0.172,183,158,medium,3.11,0.36,9.4,6,white
41,6.7,0.24,2.34,2.9,0.173,181,157,medium,3.1,0.34,9.4,6,white
42,7,0.31,1.56,7.4,0.069,144,160,high,3.13,0.46,9.8,6,white
43,6.6,0.24,1.62,1.4,0.057,153,152,medium,3.22,0.56,9.5,6,white
44,6.7,0.23,1.56,1.4,0.06,157,154,medium,3.24,0.56,9.5,6,white
45,7.4,0.18,2.17,1.4,0.058,174,,medium,3.16,0.53,10,7,white
46,6.2,0.45,1.04,4.4,0.063,145,206,medium,3.27,0.52,9.8,4,white
47,6.2,0.46,1.25,4.4,0.066,162,207,medium,3.25,0.52,9.8,5,white
48,7,0.31,1.56,7.4,0.069,146,160,high,3.13,0.46,9.8,6,white
49,6.9,0.19,1.75,5,0.067,130,150,high,3.36,0.48,9.8,5,white
50,7.2,0.19,1.86,1.6,0.062,157,173,low,3.35,0.44,11.7,6,white
51,6.6,0.25,2.03,1.1,0.068,183,124,low,3.34,0.58,11,7,white
52,6.2,0.16,2.31,1.1,0.057,155,82,low,3.32,0.46,10.9,7,
53,6.4,0.18,2.1,1,0.045,159,108,low,3.31,0.35,10.9,6,white
54,6.8,0.2,3.54,0.9,0.147,160,132,medium,3.05,0.38,9.1,6,white
55,6.9,0.25,2.1,1.3,0.039,145,191,low,3.13,0.52,11,6,white
56,7.2,0.21,2.04,11.9,0.043,159,213,high,3.09,0.5,9.6,6,white
57,6,0.19,1.56,12.4,0.048,168,147,very high,3.3,0.36,8.9,6,white
58,6.6,0.38,0.9,4.6,0.044,149,78,medium,3.11,0.38,10.2,6,white
